Month,Year,BART_Weekday_Exits,Bay_Bridge_Crossings
January,2019,395860,3913767
February,2019,407337,3587902
March,2019,409515,4058925
April,2019,414397,3976731
May,2019,412165,4040558
June,2019,413521,4006902
January,2020,388910,3878683
February,2020,404552,3722539
March,2020,166574,2882649
April,2020,25136,1996243
May,2020,29878,2673380
June,2020,40979,3036424
January,2021,43012,3041330
February,2021,47665,2989816
March,2021,51596,3532498
April,2021,57886,3522492
May,2021,64934,3671838
June,2021,75963,3673837
January,2022,85463,3325322
February,2022,105374,3286568
March,2022,124094,3717879
April,2022,132181,3634689
May,2022,135824,3729564
June,2022,140564,3622401
January,2023,134140,3383633
February,2023,151390,3199618
March,2023,151150,3568295
April,2023,159696,3649730
May,2023,159918,3763446
June,2023,158361,3673225
January,2024,151854,3462422
February,2024,162186,3332318
March,2024,162459,3650729
April,2024,163267,3650435
May,2024,168356,3706897
June,2024,164743,3619233
January,2025,162938,3527140
February,2025,171856,3239106
March,2025,174538,3641671
April,2025,181466,3610238
May,2025,170293,3702144
June,2025,183481,3581985
January,2026,170543,3493358
February,2026,178379,3263952
March,2026,188231,3664123
April,2026,201256,3510030
May,2026,196692,3659694
June,2026,206689,3585866
